study_id,author,year,obs,grp,signaller_class,signaller_species,dominant_pred_class_family,pred_type,modality,continuous_or_discrete_manipulation,yi,vi
s086,Bernal & de Silva,2015,obs296,grp232,amphibia,Engystomops pustulosus,diptera,Predator,Auditory,Discrete,2.65,0.68
s096,Boo et al.,1998,obs309,grp245,insecta,Chrysopa cognata,neuroptera,Predator,Olfactory,Discrete,0.73,0.13
s097,Sakaguchi & Gray,2011,obs310,grp246,insecta,Gryllus sp.,diptera,Parasitoid,Auditory,Continuous,0.13,0.18
s097,Sakaguchi & Gray,2011,obs311,grp246,insecta,Gryllus sp.,diptera,Parasitoid,Auditory,Continuous,0.28,0.19
s097,Sakaguchi & Gray,2011,obs312,grp246,insecta,Gryllus sp.,diptera,Parasitoid,Auditory,Continuous,0.54,0.19
s098,Mitchell & Mau,1971,obs313,grp247,insecta,Nezara virdula,diptera,Parasitoid,Olfactory,Discrete,1.41,0.03
s011,Zhang et al.,2016,obs024,grp023,mammalia,Rattus norvegicus,felis,Predator,Olfactory,Continuous,2.35,0.35
s011,Zhang et al.,2016,obs025,grp024,mammalia,Rattus norvegicus,felis,Predator,Olfactory,Continuous,1.2,0.24
s011,Zhang et al.,2016,obs026,grp025,mammalia,Rattus norvegicus,felis,Predator,Olfactory,Continuous,1.2,0.24
s011,Zhang et al.,2016,obs027,grp026,mammalia,Rattus norvegicus,felis,Predator,Olfactory,Continuous,1.2,0.24
s011,Zhang et al.,2016,obs028,grp027,mammalia,Rattus norvegicus,felis,Predator,Olfactory,Continuous,1.65,0.28
s011,Zhang et al.,2016,obs029,grp028,mammalia,Rattus norvegicus,felis,Predator,Olfactory,Continuous,3.13,0.47
s063,Rivera et al.,2017,obs219,grp173,insecta,Diaprepes abbreviatus,secernentea,Parasite,Olfactory,Discrete,1.2,0.27
s017,Swierk et al.,2010,obs038,grp038,reptilia,Anolis aquaticus,aves,Predator,Visual,Discrete,0.18,0.01
s079,Rivera et al.,2017,obs268,grp220,insecta,Diaprepes abbreviatus,Chromadorea,Parasite,Olfactory,Discrete,1.2,0.27
s027,Mendel,1995,obs070,grp070,insecta,Matsucoccus josephi,hemiptera,Predator,Olfactory,Continuous,4.13,2.11
s027,Mendel,1995,obs071,grp071,insecta,Matsucoccus josephi,hemiptera,Predator,Olfactory,Continuous,0.84,0.47
s026,Nakashima et al.,2016,obs068,grp068,insecta,Acyrthosiphon pisum,hymenoptera,Parasitoid,Olfactory,Discrete,0.63,0.06
s026,Nakashima et al.,2016,obs069,grp069,insecta,Acyrthosiphon pisum,hymenoptera,Parasitoid,Olfactory,Discrete,1.09,0.07
